ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Description
1609-Keeptogetherhair,Keep together (hair),,,1609-Keeptogetherhair,"  ‘Keep together (hair)’ tr. 會 [Shi], ‘bind up hair in a knot’ 嬉 [Yili] (also MC Ɣuât; also written with the phonetic of → kuò1 括); (adding up:) ‘calculation, account’ 會 [Li] (Karlgren 1956: 10); ‘joining point of the two ends of a collar or belt’ 襘 [Zuo] (Wáng Lì 1982: 487).  "
1610-Lidcover,"Lid, cover",,,1610-Lidcover,"  ‘Lid, cover’ [Yili].  ||  [E] This is a late [Yili] semantic extension from → huì1 會 ’join, come together’, formed in analogy to the common association of ‘join’ with ‘close, lid’ in the wfs → hé5 合 and → hé8 盍蓋. The former hé5 合 *gəp is related to PTB *kup (hence PCH *gup > *guəp > *gəp), the latter hé8 盍蓋 to PTB *gap (hence PCH, OC *gap). There is no ST, AA or PCH simplex *gop from which huì might have been derived. "
1611-Tounderstand,To understand,,,1611-Tounderstand,"  ‘To understand’ [Tang], later ‘can’, aux. vb. expressing potentiality (Norman 1988: 125). "
1612-Can,Can,,,1612-Can,"  ‘Can’, aux. vb. expressing potentiality [Tang], later replaced by the above huì. It is not clear if this and the above word are variants or cognates, but their similarity is suggestive. This word survives in M-Jiànyáng haiᶜ, Fúzhōu aᶜ², Xiàmén ueᶜ². "
1614-Topresentassignvaluablesdowry,"To present, assign, valuables, dowry",,,1614-Topresentassignvaluablesdowry,"  ‘To present, assign, valuables, dowry’ [BI, Shi]. The earlier phonetic was měi 每 *mə̂Ɂ, hence the OCM form (Schuessler 1987: 257; Baxter 1992: 352), but the word might have changed to *hwəɁ under the influence of yòu 侑 *wəh ‘to offer’ (under → yǒu2 有).  "
1615-Toinstruct,To instruct,,,1615-Toinstruct,"  ‘To instruct’ [BI, Shi] is related to → mǔ3 姆 ‘teacher’.    ||  [T] Sin Sukchu SR xuj (去); MGZY hue (去) [xuɛ]  ||  [E] ST: PL *s-ma² ‘to teach’; CVST 1: 26 adds WT smo-ba, smos ‘to say’.  "
1616-Bedarkdarkness,"Be dark, darkness",,,1616-Bedarkdarkness,"  ‘Be dark, darkness’ (of sky, clouds) > metaphorical ‘dark’ [Shi], ‘night time’ (vs. míng 明 ‘day time’) [Guoyu], ‘last day of the lunar month’ [Chunqiu]. Shījīng rimes indicate tone B (Mattos 1971: 309).  ||  [E] Prob. MK: OKhmer kmval /kmuuəl/ ‘be cloudy, overcast, dark, beclouded, be as black as a cloud’. For the absence of final *-l in CH after a MK long vowel, see §6.9. Since the word refers primarily to meteorological and natural conditions, and seems to be related to a synonymous and (mutatis mutandis) homophonous MK etymon, it is prob. not related to ST → méi9 煤 ‘soot’, → hēi 黑 ‘black’, → mén3 悶 ‘unconsciously’. A cognate is prob. → hǎi1 海 ‘ocean’. "
1617-Categoryclass,"Category, class",,,1617-Categoryclass,"  ‘Category, class’ [Yi], ‘numerous’ [Shi]. If related to → lèi2 類, this may perh. be a form which has treated the initial *r as a prefix and dropped it (§10.1.3). The same graph huì also writes → huì9 彙 ‘porcupine’ which has possibly a similar variant in the initial. "
1618-Porcupine,Porcupine,,,1618-Porcupine,"  ‘Porcupine’ [SW]. The same graph also writes a word → huì8 彙 ‘category’ which is perh. a variant of a word with initial l-: → lèi2 類 (§10.1.3).  ||  [E] Perhaps from MK *[r]kus, *[r]kuus, *[r]kuəs, *[r]k[iə]s ‘porcupine’ (Shorto 2006 #1883; p.33) >  Lushai kuɁᴸ < kus ‘porcupine, quill of a p.’ In CH the foreign initial k was perhaps ignored as a prefix. Cantonese has the curious form lœyᶜ² (Bodman 1980: 89). "
1619-Beardofchin,Beard of chin,,,1619-Beardofchin,"  ‘Beard of chin’ 顪 [Zhuang], GY also: ‘jiá 頰 jaw, cheek’; ‘snout’ 喙 [Zuo; JDSW xjwɐiᶜ], ‘mouth’ [SW] (the last graph has additional readings which prob. belong to the meaning ‘to pant’). For MC x-, see §5.6. The meanings of these homophonous graphs slide gradually into each other (‘jaw’ written with ‘beard’), therefore this seems to be one etymon, although ‘beard’ might have entered OC via KT (note the identical meanings), while ‘snout’ might have been inherited from ST, unless it is a TB loan. For semantics, note that a ‘schnauzer’ is not noted for its snout (which all dogs have), but for its striking mustache.  ||  [E] KT: S. nuatᴰ¹ᴸ < *hn- ‘beard’ which appears to have come ultimately from some Burmese-like TB lg.: WB hnut ‘mouth, womb’, used in composits for ‘beard’. Since there is no hint of a nasal initial in OC, Tai is unlikely to have been the borrower. Huì seems to be related in a roundabout way to → xū4 須鬚, see there for more TB cognates. "
1622-Relationsbymarriagewifeinlaws,"Relations by marriage, wife, in-laws",,,1622-Relationsbymarriagewifeinlaws,"  ‘Relations by marriage, wife, in-laws’ [BI, Shi]; ‘wife’s father’ [EY, Zuo], ‘wife’s family’ [SW]; hūn-yīn 婚姻 ‘relatives’ [Shi], ‘marriage’ [Li]. Wáng Lì (1982: 508) quotes from Han-period literature: ‘wedding’ is called hūn because the ceremony takes place at dusk hūn 昏 (under → mén3 悶) [SW, Shiming, Baihu tong], but this looks like a folk etymology. One may speculate instead that hūn ‘dark’ signifies ‘female’, like its synonym → yīn5 陰 ‘dark’. "
1626-Spiritualsoul,Spiritual soul,,,1626-Spiritualsoul,"  ‘Spiritual soul’ [Zuo] as opposed to → pò4 魄 ‘animal soul’. Since pò is the ‘bright’ soul, hún is the ‘dark’ soul and therefore cognate to → yún5 雲 ‘cloud’ (Carr, CAAAL 24, 1985: 62), perhaps in the sense of ‘shadowy’ because some believe that the hún soul will live after death in a world of shadows (Wolfram Eberhard Guilt and Sin in ancient China, 1967: 17). "
1628-Chaos,Chaos,,,1628-Chaos,"  ‘Chaos’ 混 [Lao], ‘muddled, confused’ 渾 [Lao], ‘abundantly flowing’ 混 [Meng] (some commentators also read LH kuənᴮ 混). "
1629-Disturbedtroubledby,"Disturbed, troubled by",,,1629-Disturbedtroubledby,"  ‘Disturbed, troubled by’ [Zuo] > ‘troubled, disorderly’ 溷 [Chuci] > ‘suffer, grief’ 慁 [Guoce]. "
1630-Soundofrunningwater,Sound of running water,,,1630-Soundofrunningwater,"  ‘Sound of running water’ [Xun], ‘chaotic’ [Zhuang]. A variant is apparently → hóng3 訌 LH goŋ ‘disorderly, trouble’. "
1631-Bedistressed,Be distressed,,,1631-Bedistressed,"  ‘Be distressed’ [Shu], ‘distress, exhaust’ [Zuo], ‘fatigue’ [Li].  ||  [T] Sin Sukchu SR k'un (去); MGZY khun (去) [k'un]; ONW kʰon  ||  [E] Perh. related to Mand. kùn 睏 ‘sleepy’. Alternatively, this word may be derived from → kùn1 困 ‘obstruct’ [Yi], as emotions are often expressed by concrete notions, but this is not likely in light of hùn 溷慁 above. HST: 63 related this word to WT kʰur ‘burden, load’. A further cognate may be → jiǒng4 窘 in which case this and the doublet of hún point to a PCH final *-uŋ. "
1634-Tokeepalivelife,"To keep alive, life",,,1634-Tokeepalivelife,"  ‘To keep alive, life’ [Shi] has prob. nothing to do with ‘moist’ (so GSR 302m) because this graph with the water radical was prob. intended to write guō 活 (kuât) LH kuɑt ‘to purl’ (as running water) [Shi]. The etymology is possibly AA: Wa-Lawa-Bulang *gɑs ‘alive’ (of plants), Aslian languages gɔs ‘to live’. "
1635-Fire,Fire,,,1635-Fire,"  ‘Fire’ [OB, Shi].   ||  [T] Sin Sukchu SR xwɔ (上); MGZY hwo (上) [xwɔ]; ONW huɑ "
1636-fire,fire,,,1636-fire,"  This is a Han-period dialect word for ‘fire’ in Wú 吳 [Xù Fāngyán p:4]. See also → huī6 墮隳.  ||  [E] ST: PTB *mey (STC no. 290) > WT me, OTib. smye; Chepang hmeɁ; PLB *Ɂmey² [Matisoff], PL *C-mi²  [Bradley], WB miᴮ, Lushai meiR < meiɁ. The relationship with → huī6 墮隳, if any, is not clear (dialect? convergence?). "
1637-Many,Many,,,1637-Many,"  ‘Many’, an old Han-period dial. word in the outlying areas of Qí and Sòng and in the region between Chǔ and Wèi [FY 1.21]. It survives in Mǐn dialects: PMin *oiᶜ ~ *uaiᴮ  ‘many’ (Norman 1983: 204). "
1639-Todeceivedelusiondoubt,"To deceive, delusion, doubt",,,1639-Todeceivedelusiondoubt,"  ‘To deceive, delusion, doubt’ [Lun]. Etymology not clear. "
1640-Tobind,To bind,,,1640-Tobind,"  ‘To bind’ [Zhuang].  ||  [E] ST: WT ’grogs-pa ‘to bind, fasten, tie, be associated with’ ᛝ grogs ‘friend, associate’ (HST p. 42). "
1641-Toreapcutharvest,"To reap, cut, harvest",,,1641-Toreapcutharvest,"  ‘To reap, cut, harvest’ [Shi], Mand. also ‘capture’. "
1642-Tocatchtakehitsucceed,"To catch, take, hit, succeed",,,1642-Tocatchtakehitsucceed,"  ‘To catch, take, hit, succeed’ [Shi]. "
1643-Atrap,A trap,,,1643-Atrap,  ‘A trap’ [Shu] – an early general tone C derivation of the above (§3.5).   ||  [C] This wf may be related to → jué12 攫. 
1647-Behungrystarvehungerfamine,"Be hungry, starve, hunger, famine",,,1647-Behungrystarvehungerfamine,"  ‘Be hungry, starve, hunger, famine’ [Shi].  — [T] ONW ki  — [D] PMin *kue  ||  [E] ST: WT bkres ‘be hungry’, JP kyet³¹ ‘hungry’, Lepcha krít, Chepang kray- ‘to hunger’, Mru krai (Löffler 1966: 148). A possible allofam is → jìn6 饉殣 ‘famine’. "
1648-Famine,Famine,,,1648-Famine,"  ‘Famine’ 饑饉 [Shi]. This word is distinct from jī above (Wáng Lì 1958: 550); for the difference in vowel,  see §11.7.1-2. "
1649-Todrawwater,To draw water,,,1649-Todrawwater,"  ‘To draw water’ [Yi].  ||  [E] ST: PTB *kaːp (STC no. 336): PLB *C-kap, WB kʰap ‘dig up, draw water’; Garo ko ‘draw water’; Dimasa kʰau ‘pluck, gather, draw’ (water) (HST: 66). "
1650-OddnumberYiXununiqueirregular,"Odd (number) 奇 [Yi], 畸 [Xun]; ‘unique, irregular",,,1650-OddnumberYiXununiqueirregular,"  ‘Odd (number) 奇 [Yi], 畸 [Xun]; ‘unique, irregular’ 奇 [Li].  ||  [E] This seems to be a ST etymon: WB kʰai- < kaiᴮ ‘remarkable’ (obsolete).   ||  [C] An allofam is prob. → jǐ3 掎 ‘pull aside’. Because of the  occasional *-ai ~ *-e vacillation in wfs (§11.3.3), → qǐ5 企跂 ‘stand on tiptoe’ may also be related. "
1651-Strangeextraordinary,"Strange, extraordinary",,,1651-Strangeextraordinary,"  ‘Strange, extraordinary’ [Zuo].   ||  [T] Sin Sukchu SR gi (平); MGZY ki (平) [gi]"
1652-Foundationbasesettlement,"Foundation, base, settlement",,,1652-Foundationbasesettlement,"  ‘Foundation, base, settlement’ [Shi].  ||  [T] Sin Sukchu SR kjej (平), PR, LR ki; MGZY gi (平) [ki];   ||  [N] This can hardly be related to the TB items under → jǐ 几机, nor to Lushai keᴸ ‘foot, leg, wheel’ (→ zhī4 支枝肢) because the vowels are different.  "
1653-Winnowingbasket,Winnowing basket,,,1653-Winnowingbasket,"  ‘Winnowing basket’ [OB, Shi]. Unger (Hao-ku 38, 1992: 79) relates this word to lí 梩 (lji) ‘basket’ [Meng] and suggests a possible connection with → qǐ2 杞 ‘willow’. "
1655-Chickenfowl,"Chicken, fowl",,,1655-Chickenfowl,"  ‘Chicken, fowl’ [Shi].   ||  [T] Sin Sukchu SR kjej (平), PR, LR ki; MGZY gÿi (平) [kji]; ONW kėi,  ||  [D] PMin *kei, K-Méixiàn kaiᴬ¹. A Han dialect form of the Chén-Chǔ-Sòng area was zhī 切 (kjie 4) [kie] [FY 8, 4].  ||  [E] Area word; since its origin is onomatopoetic, phonological correspondences are not regular: PTai *kəiᴮ¹ ‘chicken’ (Li F. 1976: 42), PKS *kaːi⁵, Kadai *kiᴬ. <> PMY *kai  (Downer 1982) <> PVM *r-ka ‘chicken’ (on the vocalism, see §11.1.3). "
1656-Tocollectaccumulate,"To collect, accumulate",,,1656-Tocollectaccumulate,"  ‘To collect, accumulate’ [Shi] > ‘to block’ [Zhuang].  ||  [E] ST: WT rtseg-pa ‘to put on top, pile up, stack’. Sagart (1999: 214) suggests that possibly → cè4 冊策筴 ‘bamboo slips > document’ is related. Perh. related to → zī7 資. "
1657-Tocollectstorewealth,"To collect, store, wealth",,,1657-Tocollectstorewealth,"  ‘To collect, store, wealth’ [Shi] > ‘provisions’ [Zuo].  ||  [<] exopass. derivation (§4.4), perh. also the verbal meanings (‘be heaped’?).  "
1658-Totwistspin,"To twist, spin",,,1658-Totwistspin,"  ‘To twist, spin’ (to make thread) [Shi] > ‘achievement, result’ [Shu] is perh. an s-iterative of → xì1 係繫 *keh ‘bind, tie up’ (§5.2.3), with final -k (§6.1); yet PCH *s-k- is expected to yield MC kʰ-.  "
1659-Toascendrisethemistrises,"To ascend, rise, the mist rises",,,1659-Toascendrisethemistrises,"  ‘To ascend, rise, the mist rises’ [ Shi]."
1660-Toliftdisappear,"To lift, disappear",,,1660-Toliftdisappear,"  ‘To lift, disappear’ (of clouds), ‘clearing sky’ 霽 [OB, Shu] > ‘to stop’ 濟 (of wind) [Zhuang], (of thoughts) [Shi]. "
1661-Carryavesseltothelips,Carry a vessel to the lips,,,1661-Carryavesseltothelips,  ‘Carry a vessel to the lips’ [Shu].   ||  [C] A possible allofam could be → jì16 懠 ‘angry’.  
1662-Beimminentclosetonearatimminentrisk,"Be imminent, close to, near, at imminent risk",,,1662-Beimminentclosetonearatimminentrisk,"  ‘Be imminent, close to, near, at imminent risk’ [Shi, Shu], ‘first sign of happenings, details’ 幾 [Shi, Shu]; ‘auspicious, omen of good or evil’ 禨 [Lie]. Karlgren (1933: 28) relates this word to → jìn1 近 ‘near’.  "
1663-Border,Border,,,1663-Border,"  ‘Border’ (on garment) 幾 [Li], ‘threshold, royal domain’ 畿 [Shi]. Prob. not related to → jī12 幾 ‘close to’ as Karlgren believed (1956: 10)."
1664-Borderafieldofacertainsize1000sqli,"Border, a field of a certain size (1,000 sq. li)",,,1664-Borderafieldofacertainsize1000sqli,"  ‘Border, a field of a certain size (1,000 sq. li)’ 圻 [Zuo]. → qí2 祈 is cognate or the same word. "
1665-Mechanicaldevice,Mechanical device,,,1665-Mechanicaldevice,"  ‘Mechanical device’ 機 [Zhuang], 璣 [Shu]. Karlgren (1956: 5) considered this the s. w. as → jī12 幾 which is glossed as ‘small’, but jī 幾 really means ‘be imminent, close to, first sign, detail’. Instead, jī is perh. cognate to → qǐ7 綮, thus meaning originally a contraption with hinges or joints, i.e. with moveable parts. "
1666-Reachto,Reach to,,,1666-Reachto,"  ‘Reach to’ [BI, Zhuang], ‘search, research, examine, comprehend’ [Shu], ‘calculate’ [Li]; ‘divine by tortoise-shell’ 葉 [SW: Shu]; zhī 支 (tśie) [kie] ‘to calculate’ [Da Dai Liji] is prob. a variant if not simply a graphic loan. "
1667-Tocalculate,To calculate,,,1667-Tocalculate,  ‘To calculate’ [Zuo]. OCB is based on the assumption that shí 十  *gip is phonetic.
1668-Examineinspect,"Examine, inspect",,,1668-Examineinspect,"  ‘Examine, inspect’ [Meng] > ‘blame’ [Zuo]. "
1669-Beatstrike,"Beat, strike",,,1669-Beatstrike,"  ‘Beat, strike’ (a musical instrument, object) [Shi]. "
1670-Carriagesknockingagainsteachother,Carriages knocking against each other,,,1670-Carriagesknockingagainsteachother,  ‘Carriages knocking against each other’ [Zhouli]. 
1671-Beatrub,"Beat, rub",,,1671-Beatrub,"  ‘Beat, rub’ [Zhouli]. "
1672-Tocometoreachtotogetherwithand,"To come to, reach to, together with, and",,,1672-Tocometoreachtotogetherwithand,"  ‘To come to, reach to, together with, and’ [BI, Shi].   ||  [T] Sin Sukchu SR gi (入); MGZY ki (入) [gi]; ONW gip.   ||  [D] Y-Guǎngzhōu ²²kʰɐpᴰ²  ||  [E] This word could be connected either with WB kʰap ‘arrive at’, JP kʰap⁵¹ to carry, reach’ (CVST 5: 50). Or, less likely, with WT ’grub-pa, grub ‘to make ready’ ᛝ sgrub-pa, bsgrubs ‘to complete, achieve’ ᛝ grub-pa ‘complete’.   ||  [C] Items under → jì4 暨 could be tone C derivations (Yú Mǐn 1948: 45; Baxter 1992: 351), but see there. "
1673-Auspiciousluckypositive,"Auspicious, lucky, positive",,,1673-Auspiciousluckypositive,"  ‘Auspicious, lucky, positive’ [OB, BI, Shi].  ||  [E] ST: WT skyid-pa ‘happy’ (HST: 87). "
1674-ear,ear,,,1674-ear,"  is in some southern dialects the second syllable in the word for ‘ear’: Y-Dōngguǎn ŋɐi¹³-kɐk⁴⁴ 耳吉, K-Dōngguǎn ²¹gi-²²kit. "
1675-Torunrobustlystraightunswerving,"To run robustly, straight, unswerving",,,1675-Torunrobustlystraightunswerving,"  ‘To run robustly, straight, unswerving’ (of horses) [Shi]. "
1676-Tostraightentheneck,To straighten the neck,,,1676-Tostraightentheneck,  ‘To straighten the neck’ (of birds) (meaning not certain) [Shi]. 
1677-Highestpointridgeofaroofextremereachtheendcometoattain,"Highest point, ridge of a roof, extreme, reach the end, come to, attain",,,1677-Highestpointridgeofaroofextremereachtheendcometoattain,"  ‘Highest point, ridge of a roof, extreme, reach the end, come to, attain’ [Shi].   ||  [T] Sin Sukchu SR gi (入); MGZY ki (入) [gi]; ONW gik  ||  [E] ST: PLB *kak ‘expensive, intense, at its peak’ (Matisoff 1972: 31; STC: 166 n. 444).  "
1678-Beurgent,Be urgent,,,1678-Beurgent,"  ‘Be urgent’ [Shi]; ‘to die’ [Li], ‘execute, kill’ 殛 [Shu]. This word is prob. not a variant of → jí12 急 (kjəp) ‘be urgent’ (as is sometimes suggested). "
1679-Besicksufferingdefectevil,"Be sick, suffering, defect, evil",,,1679-Besicksufferingdefectevil,"  ‘Be sick, suffering, defect, evil’ [OB, Shi].  ||  [T] Sin Sukchu SR dzi (入); MGZY tsi (入) [dzi]; ONW dzit  ||  [E] ST *tsik ‘to smolder’ > ‘burn’ / ‘be ill, illness’ / ‘anger’, PTB *m-(t)sik ‘burn, angry’ [HPTB], WT ’tsʰig-pa ‘to burn, destroy by fire, glow; to be in rut, be inflamed, feverish’ (Bodman 1980: 158); perh. Chepang ɉik- ‘be sick, injured, hurt’. Prob. not related to jì 癠 ‘sick’ (under → jǐ5 擠). Less likely comparanda: WT sdig-pa ‘sin, wickedness’ (Bodman 1980: 158). AA items look somewhat similar: PBahn. *ɉiɁ, Wa-Lawa-Palaung *siɁ ‘sick’. STC (170 n. 455) relates this word to PTB *tsa ‘hot, pain’, but the vowels differ (i vs. a), see → zāi1 災. "
1680-Detest,Detest,,,1680-Detest,"  ‘Detest’ [Shu] (Karlgren GSR 923c), ‘to hate’ 疾 [Shu].  ||  [E] ST *tsik: WT tsʰig-pa ‘anger, indignation’; LB-Lahu yˆɨɁ, Motuo Monpa ro tsik ‘angry’ [HPTB: 344f]. "
1681-Bejealous,Be jealous,,,1681-Bejealous,  ‘Be jealous’ [Chuci]. 
1682-Coaledpartofburningtorchtoburnorscorchearth,"Coaled part of burning torch, to burn or scorch earth...",,,1682-Coaledpartofburningtorchtoburnorscorchearth,"  ‘Coaled part of burning torch, to burn or scorch earth...’ [Guanzi]."
1683-Toapproachgotoapply,"To approach, go to, apply",,,1683-Toapproachgotoapply,"  ‘To approach, go to, apply’ > ‘on the point of’ [BI, Shi, Shu]; jí-wèi 即位 ‘to take one’s place, seat, ascend the throne’ [BI].   ||  [T] Sin Sukchu SR tsi (入); MGZY dzi (入) [tsi]  ||  [E] MK: Khmer jita /cit/, OKhmer jit /ɉit/ ‘to be near to, to the point of, be close’ ᛝ bhjita /pcit/ ‘to bring near, draw up (a chair), to set (two things together), join, attach, to apply’. "
1684-Becloseto,Be close to,,,1684-Becloseto,"  ‘Be close to’ [Xun], ‘eager, impatient’ [Lun]. 切 also writes a homophone which is cognate to → jié9 節. "
1685-Familiarity,Familiarity,,,1685-Familiarity,"  ‘Familiarity’ [Shu], (a ruler’s) ‘favorite’ (person) [Shu]. The homophones → nì2 昵 ‘glue’ and → nì4 衵 ‘underwear’ are prob. not related.  ||  [E] MK: Khmer jaṃnita /cumnit/ (i.e. etymologically ɉ-n-it) ‘nearness, closeness, proximity, familiarity with, intimacy’. The AA nominal n-infix is taken in CH for the root initial, perh. because of the original voiced initial and the paronomastic attraction to → ěr7 邇 (ńźieᴮ) ‘near’. The CH words jí and nì are thus allofams in an AA wf.  ||  [C] A possible allofam could be → qīn5 親. Syn. are → ěr7 邇, → ní1 尼, → nì9 暱.  "
1686-Masonry,Masonry,,,1686-Masonry,"  ‘Masonry’ [Li]; however, the traditional gloss ‘masonry’ is spurious (Pulleyblank 1999: 166), therefore there is no connection with WT rtsig-pa ‘to wall up, a wall, masonry’ (Bodman 1980: 158). "
1689-Jujubethorns,"Jujube, thorns",,,1689-Jujubethorns,"  ‘Jujube, thorns’ [Shi] is written in a Shījīng variant as:"
1690-NA,NA,,,1690-NA,
1691-Beurgenthurrying,"Be urgent, hurrying",,,1691-Beurgenthurrying,"  ‘Be urgent, hurrying’ [Shi], ‘hasty, distress’ [Zuo] is not a variant of jí 亟 (kjək) ‘be urgent’ (under → jí5 極). Etymology not clear.   ||  [T] Sin Sukchu SR ki (入); MGZY gi (入) [ki]; ONW kip"
1692-Cometogetherandsettleofbirdsperch,"Come together and settle (of birds), perch",,,1692-Cometogetherandsettleofbirdsperch,"  ‘Come together and settle (of birds), perch’ [Shi] > caus. ‘to collect together, unite, settle, achieve’ 集 [BI, Shi], 輯 [Shi].  ||  [E] MK: Khmer cwpa /cùuəp/ ~ jwpa /cúuəp/ ‘to join’, intr. ‘to meet, come together, encounter’ ᛝ prajcwpa ‘to meet one another’. <> The following is prob. a different etymon with the basic meaning ‘close’: PTB *tsup > PLB *tsup ~ *Ɂtsup [Matisoff 1972: 40] > WB cʰup ‘clench fist’, Kachin tsup ‘to gather’ (as mouth of sack), ‘close hands’ (as in catching a ball) (HST: 84). KN-Lai fuu / fuut ‘to perch’ [LTBA 21.1: 18].   ||  [C] This wf has perh. converged with → jì10 揖. Baxter (1992: 350) adds cuì 萃 (dzwiᶜ) ‘collect’ (under → zāo2 遭). "
1693-Broughttogethermixed,"Brought together, mixed",,,1693-Broughttogethermixed,"  ‘Brought together, mixed’ [Shi], ‘variegated’ [Li] (Karlgren 1956: 13). "
1694-Spine,Spine,,,1694-Spine,"  ‘Spine’ [Li] > ‘fundamental principle, reason’ [Shi]. "
1695-Emaciated,Emaciated,,,1695-Emaciated,"  ‘Emaciated’ [Yi] > ‘meagre, poor’ (soil) [Guoce] > ‘suffering’ 瘠 [Shu]; 膌 [Guan] (Karlgren 1956: 10). Perh. → zì3 胔 ‘bones with meat on’ is cognate. "
1696-Walkwithsmallsteps,Walk with small steps,,,1696-Walkwithsmallsteps,"  ‘Walk with small steps’ [Shi]. This may be the same etymon as → jí16 踖, see §11.3.2.  ||  [E] This is a vocalic variant of → jí16 踖 (§11.3.2). The same doublets are found in ‘footprint, track’ → jì21 蹟 which may be cognate. "
1697-Trampleoppress,"Trample, oppress",,,1697-Trampleoppress,"  ‘Trample, oppress’ [Zhuang] (Karlgren 1956: 10). "
1698-Totrample,To trample,,,1698-Totrample,  ‘To trample’ [Lie]. 
1699-Walkreverently,Walk reverently,,,1699-Walkreverently,"  ‘Walk reverently’ [Lunyu]. This may be the same etymon as → jí15 蹐, see §11.3.2.  ||  [E] ST *tsjak: WT ’čʰags-pa, bčags ‘to tread, walk, move’. Perh. also connected with MK *jak ‘to tread, step out, set out’ (Shorto 2006 #301): Semai /jak/, ‘to trample’, WrMon jak ‘to march, travel’, Sre jaʔ ‘to tread on, trample’ (‘j’ = dž, ‘c’ = tš).  ||  The ST medial *-ia- (*-ja-) explains the *tsiak ~ *tsek doublets (→ jí15 蹐; §11.3.2). The same doublets are found in ‘footprint, track’ → jì21 蹟 which may be cognate."
1700-Totrample,To trample,,,1700-Totrample,  ‘To trample’ [Li]. 
1701-Reverentdemeanordowithattentivemovements,"Reverent demeanor, do with attentive movements",,,1701-Reverentdemeanordowithattentivemovements,"  ‘Reverent demeanor, do with attentive movements’ [Shi]. "
1702-Tocultivate,To cultivate,,,1702-Tocultivate,"  ‘To cultivate’ (field, garden, rice) [OB, Zuo] > ‘perform the ploughing ceremony’ [OB] > ‘sacred field’ 藉 [SW] (Bodde 1975: 231ff) > ‘register of field revenues’ 籍 [Shi] > ‘a record, writing tablet’ 籍 [Zuo].  ||  [E] MK *jiik, *jiək ‘break ground for cultivation’ (Shorto 2006 #300): OMon jik ‘to harrow, break up for planting, to cultivate’; Old Khmer jyak ‘to dig, dig over’, (Palaungic) Praok ciak ‘to dig, break ground by digging’. Occasionally, we find OC *a for foreign e or i, see §11.1.3. "
1704-Torow,To row,,,1704-Torow,"  ‘To row’ [Shi], ‘oar’ occurs also in JP šap < tšap ‘oar’ (Benedict HJAS 5, 1940: 111 no. 59). "
1707-Stoolsmalltable,"Stool, small table",,,1707-Stoolsmalltable,"  ‘Stool, small table’ 几 [Shi], 机 [Zuo, Li].  ||  [E] ST: PTB *kriy (STC no. 38) > PL *kre¹ > WB kʰre ‘foot, leg’ ᛝ ə-kʰre ‘foundation, foot’, WT kʰri ‘seat, chair, throne, couch’ (HST: 54), Lepcha hri ‘chair’. <> AA-Khmer grē /krɛɛ/ ‘bed, bench’ could be a loan from some ST language, perh. OC (so Pou / Jenner, J. of Oriental Studies 11, 1973.1: 1-90)."
1708-Self,Self,,,1708-Self,"  ‘Self’, reflexive personal pronoun [Lun].  — Etymology not clear.   ||  [T] Sin Sukchu SR kjej (上), PR, LR ki; MGZY gi (上) [ki]"
1709-Pullbyoneleg,Pull by one leg,,,1709-Pullbyoneleg,"  ‘Pull by one leg’ [Zuo], ‘pull aside’ [Shi]; ‘stand around close to door’ 踦 [Gongyang].  ||  [E] ST: WB kai ‘oblique, sidewise’ (Matisoff 1995a: 84). An allofam is prob. → jī4 奇 ‘odd’, also possibly → jì5 癩 ‘stand’, and → qǐ5 企跂 ‘stand on tiptoe’ which has, however, a different OC rime (*-e)."
1710-Slanting,Slanting,,,1710-Slanting,"  ‘Slanting’ [Xun, also MC kjie 3]; ‘one-footed’ 踦 [Guoyu]; ‘one horn turning up, one down’ 觭 [Yi]. "
1711-Muntjac,Muntjac,,,1711-Muntjac,"  ‘Muntjac’ 麂 [post-Zhou-Han]; acc. to GY, 勉 [OB] writes the same word.  ||  [E] ST: PTB *d-kiy (STC no. 54): PL *kye’ ‘barking deer’; WB khye, gyiᴬ ‘barking deer’, JP tʃə³³-kʰji³³ ‘muntjac’, kʰyi¹-maɁ¹ ‘a kind of muntjac’, Lushai saᴴ-khiᴸ < -kʰiɁ/h ‘barking deer’. "
1712-Topush,To push,,,1712-Topush,"  ‘To push’ [Zuo], ‘urge, press, press out’.  ||  [E] ST: PTB *tsyir ~ *tsyur ‘squeeze, wring’ (HPTB: 397): WT ’tsʰir-ba ‘to press, press out’ (Unger Hao-ku 35, 1986: 33); Bahing tśyur ‘wring’, Kanauri tsŭr ‘to milk’.    ||  [E] Alternatively, the OC stem may derive from earlier *st(ə)i in light of the possible allofam dǐ 抵 (tieiᴮ) [teiᴮ] ‘push away’ [Dadai Liji]. "
1713-Disease,Disease,,,1713-Disease,"  ‘Disease’ [Li], ‘suffer’ (Unger) < ‘be pressed’ ?  ||  [E] TB-WT gzir-ba ‘be pressed, troubled, suffer’ (Unger). Prob. not related to → jí6 疾 ‘sick’, but a possibleallofam could be → jì16 懠. "
1714-Many,Many,,,1714-Many,  ‘Many’ [Shi] (Baxter 1992: 462). 
1715-Largenumber,Large number,,,1715-Largenumber,  ‘Large number’ [Shi]. 
